idx,hash,firstTriplet,quintets,quintetInKeyWindow
18,0034e0923cc38887a57bd7b1d4f953df,8,#,#N/A
39,347dac6ee8eeea4652c7476d0f97bee5,e,#,73
45,ddd37f736db183b6b4c186b87dd6236c,d,#,594
64,5a776356daa2a541c062fa9c65405552,5,#,#N/A
77,d07a28650fff793ea551a0c6696ce7db,f,#,#N/A
79,6aadbb9dff757eaaaec01fb36852aacd,a,#,#N/A
88,3607fff5c196e1ae3eb1768fdc67c7d8,f,#,#N/A
91,c4b5b21401204280e2f079d3000f56a9,0,#,813
92,ae2e85dd75d63e916a525df95e999ea0,9,#,11
110,7af7fa13b999d68bbce565971ddbae27,9,#,10
118,bbb7006c6639b7c7e52a86497d286e51,b,#,#N/A
122,6b130168c1ea8db621b6b92111c30baa,1,#,815
138,829074e3fd06a236a2aaada262ec9bf5,a,#,#N/A
141,77d7774fc5457b381e03d07a5816b782,7,#,#N/A
148,34b6068343666739a73d06eb2c73e525,6,#,#N/A
161,16bdd910d1ce66bcccae077af611e602,c,#,#N/A
181,e95903ec7d5109022201dddd84bb138a,2,#,#N/A
184,02164648eee4fd760cdab7e343effd74,e,#,57
193,590dd7546c592ac410003007ea113094,0,#,802
200,83501e9109999965af11270ef8d61a4f,,#9#,#N/A
212,40f00b9fe9f1666d4e0602171a1a00ea,6,#,#N/A
249,f299a6ccc2cf6d9aba661f540fe50231,c,#,#N/A
267,098c1395c46efbe677755719df9fd4c0,7,#,#N/A
281,bf26a82b8b57bfdf4b34797e7ccc643a,c,#,#N/A
283,938cfaf68bbf2e349c5ccc759292961b,c,#,#N/A
291,d7c86a1c1af63c851fe876e44427da83,4,#,84
314,b76a587a333a5de4fbd566b426e1254c,3,#,46
315,71c830bb6efc1d0453d54f83b9994ec7,9,#,#N/A
340,69c230f6bcbba5130415160deccc09b7,c,#,#N/A
343,d3c939a6e3739444983e1961fad091d8,4,#,80
345,6df546ce5a70dc4385556597e04eb274,5,#,#N/A
353,649aa00034b97dba95397de24fd1eb99,0,#,789
360,c4abfdc2f7fffe4559142d8ff635296c,f,#,#N/A
366,b6492f4bd304eca9978cf777bea52a8c,7,#,#N/A
368,5777b7a654b6523cada9fd1a3ebb69ed,7,#,#N/A
373,1b31aedd79993214b70de07c0de9bbff,9,#,#N/A
385,d847a4440f2a4423b79fe9bdc1cde659,4,#,73
400,f0f82f836662b70a209b3710f8498c3a,6,#,#N/A
402,f658aa2864a59a1cb9691cc08889ee3f,8,#,#N/A
404,e76654220111d1bb1fc25429ff58a8bd,1,#,787
410,8ec6a2c0365d20f2261730b500077f8a,0,#,780
441,0ff627d82225f24598a128cc453900f7,2,#,#N/A
443,3351f1bf5df96dd1365ed7b1545cccd5,c,#,#N/A
449,c252d95bf187ed4220471c0ae6d77737,7,#,#N/A
450,a003376f5abbcda67772e00b928e6609,7,#,#N/A
459,77b05e16607a333bae2dee537ce16b9a,3,#,27
461,d2c1333bc7b740a6af0c51eded05e70f,3,#,26
489,3168351b76dee9d74442c60fb7947758,4,#,62
494,183aa7110ae7b357b1ff78fc5faaa4ca,a,#,#N/A
502,5ef53879b68588834e9d80b42aa09b49,8,#,#N/A
514,6409ff5bfd9b461be517de5d43d6fccc,c,#,#N/A
534,4fc7df57777400b3eeef5350a6eecbdf,e,#,23
536,61c6e98563999d0c47498aad247d04a2,9,#,#N/A
564,2fc47b6c6e835c6ce930c04399937f01,9,#,#N/A
589,a9248ddd044d68799b5afb4489a0cf00,d,#,542
611,69831039316ef0624a1e604aecd66000,0,#,765
630,34360c1f58ede6509d83bf5c34222fae,2,#,#N/A
640,a41e6bbbc537c14b5b71550dd53beb2b,b,#,#N/A
655,4bc9da358068aaf5aa8074aa88ae8fff,f,#,#N/A
712,567716845a5617ad777b02cab9409ebe,7,#,#N/A
716,9493bbb4344bca4ad747bf982a72d10e,b,#,#N/A
717,b378b0e0afbf0e3bb10cdd95266654b7,6,#,#N/A
720,ef484ae62e9725906fa999e703025e22,9,#,#N/A
725,ac55570b02a2bef51d0124be57a769cf,5,#,#N/A
762,9662100183ee75b31994782f57f9ccc7,c,#,#N/A
764,1d40ff37418f20775fd615553cb97f50,5,#,#N/A
770,f7ae45bd6f01407b45c3fff43e9c226e,f,#,#N/A
771,f4fc8ddb4c3336ad9fc5e6985bf10bfc,3,#,5
772,a1f4134b4c875fb40f96eddd34166bb3,d,#,528
777,594263c5324b1e24edeb812bbf700111,1,#,757
781,05cc3a44479f138930aef93d09adb271,4,#,39
791,46888d59a86314786d3cce2ec84a74d4,8,#,#N/A
792,d3037333338c0e36482facef46a5d375,,#3#,#N/A
801,83b2823bc66d2ed49555b92148d65ab2,5,#,#N/A
816,3aeeeee1367614f3061d165a5fe3cac3,,#e#,#N/A
838,8e247e598810d5ddd6cd37d3f1f3fe07,d,#,521
860,6ea76b29e777ddd70968a0b5b721d009,7,#,#N/A
877,3585dc5c9d1f7260fb119511821112de,1,#,749
887,6224443f4f20b285f198a5928240b8f9,4,#,31
902,1830bbb4672b0f6ce76c600dde600d5d,b,#,#N/A
906,5b6779103eb12fffe8765f53a18f1263,f,#,#N/A
909,a34277798532e1cd78a3266711e56a1b,7,#,#N/A
912,bc6a590eee4cf92859b81bd096b4796e,e,#,#N/A
921,0cf3121c29f42db2d192ee99090888ef,8,#,#N/A
924,7dda7ee65c172ebbb5bd1cbf5af94973,b,#,#N/A
933,d666c95d334124bd8421213ee750f298,6,#,#N/A
939,8fff5c06db476ae61273999a89bf7d06,f,#,#N/A
953,5df970cdf3be5557f96668b8b856e2a2,5,#,#N/A
955,067e32c47bb94441fb1ddb164028f1a0,4,#,21
967,32826f82c36b12b3e603e970aaa96d6f,a,#,#N/A
968,3ffbe9599ba93a02d270d7e5dddc2510,d,#,506
980,ab50c7994b7043555138aba0c978abe3,5,#,#N/A
995,8b48fd9ec78190bee111a39fd329bb70,1,#,734
1006,6a1f18de86d84222411dd9be9ad9c791,2,#,#N/A
1016,2e58d46caad7ec79bbbde553148bed35,b,#,#N/A
1075,ae11ff5e1fea41500e0b91d68bbbdad5,b,#,#N/A
1101,2669428f0a956667fb387b60fdce36d1,6,#,#N/A
1102,0c2c739e4fffdddc025930994b771056,f,#,#N/A
1117,d4568d336f015a6cf4672a0f666db5a9,6,#,#N/A
1123,fdc860609fd2d8c39ebbba81ab0b79e8,b,#,#N/A
1129,b001a776721001acf84411134e56e619,1,#,726
1146,3b94cccfe2624aa92614b681cbca7c9c,c,#,#N/A
1151,ea690b0eeb1f3be4f4a4666d4066a7bd,6,#,#N/A
1152,80010d808e680fc6c0b9d5102d05f888,8,#,#N/A
1161,c0ec2c417ddd8d61b655eca35e80d737,d,#,492
1182,023e504f07d486491f49861a70999bbd,9,#,#N/A
1183,99ec54097b74eeeaeb99818415cd680c,e,#,#N/A
1235,c197cce57cc00077654dc82ca7ff15a9,0,#,713
1243,3330b20a62172e37f1f926b6345d478d,3,#,#N/A
1261,edd652be33204a7a544444d3c722fc01,,#4#,#N/A
1282,abff8f3a31cccd5c435f021d44e6f8f8,c,#,#N/A
1292,444a500edb2189e51ca81012af01f683,4,#,#N/A
1323,973f75b7f4a1fb2ccca35e72eb59f0fe,c,#,#N/A
1337,84e46d83ef72675c68bbb410c4bd923e,b,#,#N/A
1338,ab07b6c59c4c67bbf2b0fa89cbe444e0,4,#,#N/A
1354,3fb59bf96bfa7a8ce88877008179d5a6,8,#,#N/A
1363,260a7ec18bbb062e521d87dea9f90bd8,b,#,#N/A
1388,6bfcd85165a791b0333563f75fdf79c0,3,#,#N/A
1390,59227d029e30fe5144408ce42e63a177,4,#,#N/A
1392,e86d610e0eda71c52afffe5f33ebb887,f,#,#N/A
1395,d56c599b459931c1ca333fac78b7bc54,3,#,#N/A
